"Name","activation_function","alpha","architecture.hidden_layers","architecture.neurons_per_layer","epochs","optimizer","final_val_accuracy","final_val_loss","train_accuracy","train_hamming_loss","val_hamming_loss","train_f1_score","train_loss","train_precision","train_recall","val_accuracy","val_f1_score","val_loss","val_precision","val_recall","State","Notes","User","Tags","Created","Runtime","Sweep","method","metric.goal","metric.name","parameters.activation_functions","parameters.alphas","parameters.architectures","parameters.batch_sizes","parameters.epochs","parameters.optimizers","epoch"
"swift-sweep-18","sigmoid","0.1","3","[128,64,32]","50","sgd","0.65625","0.6479594696163052","0.6571875","0.3428125","0.34375","0","0.6503839665033087","0","0","0.65625","0","0.6479594696163052","0","0","finished","-","","","2024-10-13T13:56:44.000Z","106","yptpzg8q","","","","","","","","","","50"
"eager-sweep-17","sigmoid","0.1","2","[64,32]","50","sgd","0.65625","0.6481223230378128","0.6571875","0.3428125","0.34375","0","0.6467335410326308","0","0","0.65625","0","0.6481223230378128","0","0","finished","-","","","2024-10-13T13:55:25.000Z","76","yptpzg8q","","","","","","","","","","50"
"playful-sweep-16","sigmoid","0.1","1","[32]","50","sgd","0.65875","0.6454108190365873","0.6571875","0.3428125","0.34375","0","0.6486615426305343","0","0","0.65625","0","0.6454108190365873","0","0","finished","-","","","2024-10-13T13:54:46.000Z","36","yptpzg8q","","","","","","","","","","50"
"winter-sweep-15","sigmoid","0.01","3","[128,64,32]","50","sgd","0.65625","0.6490906072514394","0.6571875","0.3428125","0.34375","0","0.644815482902134","0","0","0.65625","0","0.6490906072514394","0","0","finished","-","","","2024-10-13T13:53:12.000Z","93","yptpzg8q","","","","","","","","","","50"
"rich-sweep-14","sigmoid","0.01","2","[64,32]","50","sgd","0.65625","0.6451255949807749","0.6571875","0.3428125","0.34375","0","0.6430775683223559","0","0","0.65625","0","0.6451255949807749","0","0","finished","-","","","2024-10-13T13:52:03.000Z","66","yptpzg8q","","","","","","","","","","50"
"dauntless-sweep-13","sigmoid","0.01","1","[32]","50","sgd","0.65625","0.645029753945212","0.6571875","0.3428125","0.34375","0","0.6423841579012106","0","0","0.65625","0","0.645029753945212","0","0","finished","-","","","2024-10-13T13:51:16.000Z","44","yptpzg8q","","","","","","","","","","50"
"ancient-sweep-12","tanh","0.1","3","[128,64,32]","50","sgd","0.65625","0.6553847786633029","0.6571875","0.3428125","0.34375","0","0.6485471422194852","0","0","0.65625","0","0.6553847786633029","0","0","finished","-","","","2024-10-13T13:37:57.000Z","794","yptpzg8q","","","","","","","","","","50"
"olive-sweep-11","tanh","0.1","2","[64,32]","50","sgd","0.65625","0.6652078407007278","0.615","0.385","0.37125","0.16713988095238094","0.666641259533681","0.33125","0.11793154761904762","0.62875","0.20057142857142857","0.6652078407007278","0.39","0.143","finished","-","","","2024-10-13T13:37:04.000Z","47","yptpzg8q","","","","","","","","","","50"
"efficient-sweep-10","tanh","0.1","1","[32]","50","sgd","0.62375","0.9386461724379294","0.5840625","0.4159375","0.45125","0.2814285714285714","0.8776597488424338","0.35375","0.24917559523809524","0.54875","0.2236190476190476","0.9386461724379294","0.285","0.19916666666666663","finished","-","","","2024-10-13T13:36:27.000Z","33","yptpzg8q","","","","","","","","","","50"
"helpful-sweep-9","tanh","0.01","3","[128,64,32]","50","sgd","0.65625","0.6450063095863443","0.6571875","0.3428125","0.34375","0","0.6427098181034683","0","0","0.65625","0","0.6450063095863443","0","0","finished","-","","","2024-10-13T13:35:03.000Z","79","yptpzg8q","","","","","","","","","","50"
"exalted-sweep-8","tanh","0.01","2","[64,32]","50","sgd","0.65625","0.643645682341233","0.6571875","0.3428125","0.34375","0","0.6434471310501172","0","0","0.65625","0","0.643645682341233","0","0","finished","-","","","2024-10-13T13:34:05.000Z","53","yptpzg8q","","","","","","","","","","50"
"smart-sweep-7","tanh","0.01","1","[32]","50","sgd","0.65625","0.6495625363264342","0.6571875","0.3428125","0.34375","0","0.6495974505010512","0","0","0.65625","0","0.6495625363264342","0","0","finished","-","","","2024-10-13T13:33:28.000Z","33","yptpzg8q","","","","","","","","","","50"
"brisk-sweep-6","relu","0.1","3","[128,64,32]","50","sgd","0.65625","0.6487036668629493","0.6571875","0.3428125","0.34375","0","0.6460994189490558","0","0","0.65625","0","0.6487036668629493","0","0","finished","-","","","2024-10-13T13:32:09.000Z","74","yptpzg8q","","","","","","","","","","50"
"frosty-sweep-5","relu","0.1","2","[64,32]","50","sgd","0.65625","0.6544797255032628","0.6571875","0.3428125","0.34375","0","0.6491427835981208","0","0","0.65625","0","0.6544797255032628","0","0","finished","-","","","2024-10-13T13:31:16.000Z","49","yptpzg8q","","","","","","","","","","50"
"cosmic-sweep-4","relu","0.1","1","[32]","50","sgd","0.65625","0.6528335838531021","0.6571875","0.3428125","0.34375","0","0.6521052104343519","0","0","0.65625","0","0.6528335838531021","0","0","finished","-","","","2024-10-13T13:30:39.000Z","35","yptpzg8q","","","","","","","","","","50"
"comfy-sweep-3","relu","0.01","3","[128,64,32]","50","sgd","0.65625","0.6447179740688123","0.6571875","0.3428125","0.34375","0","0.6427493805383765","0","0","0.65625","0","0.6447179740688123","0","0","finished","-","","","2024-10-13T13:29:20.000Z","74","yptpzg8q","","","","","","","","","","50"
"fiery-sweep-2","relu","0.01","2","[64,32]","50","sgd","0.65625","0.6458314358712991","0.6571875","0.3428125","0.34375","0","0.6428308835714557","0","0","0.65625","0","0.6458314358712991","0","0","finished","-","","","2024-10-13T13:28:17.000Z","58","yptpzg8q","","","","","","","","","","50"
"devout-sweep-1","relu","0.01","1","[32]","50","sgd","0.65625","0.6451098396751698","0.6571875","0.3428125","0.34375","0","0.6427083165052083","0","0","0.65625","0","0.6451098396751698","0","0","finished","-","","","2024-10-13T13:27:34.000Z","40","yptpzg8q","","","","","","","","","","50"